feature,frequencyInTop128
hsa-mir-122,8.0
hsa-mir-205,8.0
hsa-mir-638,8.0
hsa-mir-375,8.0
hsa-let-7e,8.0
hsa-mir-574-5p,8.0
hsa-mir-200c,8.0
hsa-mir-192,8.0
hsa-mir-138,8.0
hsa-mir-1268,8.0
hsa-mir-145,8.0
hsa-mir-130b,8.0
hsa-mir-378,8.0
hsa-mir-142-3p,8.0
hsa-mir-20a,8.0
hsa-mir-320a,8.0
hsa-mir-194,8.0
hsa-mir-93*,8.0
hsa-mir-574-3p,8.0
hsa-mir-1280,8.0
hsa-mir-23b,8.0
hsa-mir-203,8.0
hsa-let-7a,8.0
hsa-mir-196a,8.0
hsa-mir-423-5p,8.0
hsa-mir-126,8.0
hsa-mir-92b,8.0
hsa-mir-320c,8.0
hsa-mir-193b,8.0
hsa-mir-16-2*,8.0
hsa-let-7b,8.0
hsa-mir-223,8.0
hsa-mir-744,8.0
hsa-mir-125b-2*,8.0
hsa-mir-646,8.0
hsa-mir-625*,8.0
hsa-mir-513a-3p,8.0
hsa-mir-198,8.0
hsa-mir-494,8.0
hsa-mir-133a,8.0
hsa-mir-15b,8.0
hsa-mir-106b,8.0
hsa-mir-151-5p,8.0
hsa-mir-215,8.0
hsa-mir-30a,8.0
hsa-mir-708,8.0
hsa-mir-1275,8.0
hsa-mir-210,8.0
hsa-mir-202,8.0
hsa-mir-1285,8.0
hsa-mir-200b,8.0
hsa-mir-1288,8.0
hsa-mir-19b,8.0
hsa-mir-571,8.0
hsa-mir-452,8.0
hsa-mir-125b,8.0
hsa-mir-922,8.0
hsa-mir-656,8.0
hsa-mir-214,8.0
hsa-mir-141,8.0
hsa-let-7c,8.0
hsa-mir-432,8.0
hsa-mir-187,8.0
hsa-mir-425*,8.0
hsa-mir-30d,8.0
hsa-mir-181a,8.0
hsa-mir-493,8.0
hsa-mir-302b,8.0
hsa-mir-339-3p,8.0
hsa-mir-15b*,8.0
hsa-mir-1260,8.0
hsa-mir-148a,8.0
hsa-mir-520a-3p,8.0
hsa-mir-345,8.0
hsa-mir-454*,8.0
hsa-mir-92a,8.0
hsa-mir-566,8.0
hsa-mir-451,8.0
hsa-mir-185,8.0
hsa-mir-181b,8.0
hsa-mir-10a,8.0
hsa-mir-16,8.0
hsa-mir-378*,8.0
hsa-let-7d,8.0
hsa-mir-20b,8.0
hsa-mir-195,8.0
hsa-mir-99b,8.0
hsa-mir-26b,8.0
hsa-mir-618,8.0
hsa-mir-885-5p,8.0
hsa-mir-324-3p,8.0
hsa-mir-107,8.0
hsa-mir-320d,8.0
hsa-mir-595,8.0
hsa-mir-557,8.0
hsa-mir-143,8.0
hsa-mir-26a,8.0
hsa-mir-191,8.0
hsa-mir-1231,8.0
hsa-mir-92a-2*,8.0
hsa-let-7f,8.0
hsa-mir-148b,8.0
hsa-mir-150*,8.0
hsa-mir-200a,8.0
hsa-mir-99a,8.0
hsa-mir-342-3p,8.0
hsa-mir-222,8.0
hsa-mir-504,8.0
hsa-mir-372,7.2
hsa-mir-138-2*,7.2
hsa-mir-24,7.2
hsa-mir-221,7.2
hsa-mir-93,7.2
hsa-let-7a*,7.2
hsa-mir-17,7.2
hsa-mir-218,6.4
hsa-mir-942,6.4
hsa-mir-601,6.4
hsa-mir-361-3p,6.4
hsa-mir-22,6.4
hsa-mir-29c,5.6
hsa-mir-27b,5.6
hsa-let-7g,5.6
hsa-mir-130a*,5.6
hsa-mir-32,4.8
hsa-mir-340*,4.8
hsa-mir-487b,4.8
hsa-mir-18a,4.8
